lower_bound_ip_address,upper_bound_ip_address,country
16777216.0,16777471,Australia
16777472.0,16777727,China
16777728.0,16778239,China
16778240.0,16779263,Australia
16779264.0,16781311,China
16781312.0,16785407,Japan
16785408.0,16793599,China
16793600.0,16809983,Japan
16809984.0,16842751,Thailand
16842752.0,16843007,China
16843008.0,16843263,Australia
16843264.0,16843775,China
16843776.0,16844799,China
16844800.0,16846847,China
16846848.0,16850943,China
16850944.0,16859135,China
16859136.0,16875519,Japan
16875520.0,16908287,Thailand
16908288.0,16908799,China
16908800.0,16909055,China
16909056.0,16909311,Australia
16909312.0,16909567,China
16909568.0,16909823,China
16909824.0,16910335,China
16910336.0,16910591,China
16910592.0,16910847,China
16910848.0,16911359,China
16911360.0,16912383,China
16912384.0,16916479,China
16916480.0,16924671,China
16924672.0,16941055,China
16941056.0,16973823,Thailand
16973824.0,17039359,China
17039360.0,17039615,Australia
17039616.0,17039871,China
17039872.0,17040383,China
17040384.0,17040639,China
17040640.0,17040895,China
17040896.0,17041407,China
17041408.0,17043455,China
17043456.0,17047551,China
17047552.0,17055743,China
17055744.0,17072127,China
17072128.0,17104895,Thailand
17104896.0,17170431,Japan
17170432.0,17301503,India
17301504.0,17367039,China
17367040.0,17432575,Malaysia
17432576.0,17434623,China
17434624.0,17435135,China
17435136.0,17435391,Australia
17435392.0,17435647,China
17435648.0,17436671,China
17436672.0,17440767,China
17440768.0,17448959,China
17448960.0,17465343,China
17465344.0,17498111,Thailand
17498112.0,17563647,Korea Republic of
17563648.0,17825791,China
17825792.0,18087935,Korea Republic of
18087936.0,18153471,Thailand
18153472.0,18219007,Japan
18219008.0,18350079,India
18350080.0,18874367,China
18874368.0,18939903,Hong Kong
18939904.0,19005439,Japan
19005440.0,19136511,Taiwan; Republic of China (ROC)
19136512.0,19202047,Hong Kong
19202048.0,19267583,Philippines
19267584.0,19398655,India
19398656.0,19660799,Australia
19660800.0,19726335,Australia
19726336.0,19791871,China
19791872.0,19922943,Thailand
19922944.0,20054015,China
20054016.0,20119551,China
20119552.0,20185087,China
20185088.0,20447231,Viet Nam
20447232.0,20971519,China
20971520.0,21102591,Hong Kong
21102592.0,21233663,Japan
21233664.0,21495807,China
21495808.0,22020095,Japan
22020096.0,22544383,China
22544384.0,22806527,China
22806528.0,22937599,China
22937600.0,23068671,China
23068672.0,24117247,Korea Republic of
24117248.0,24379391,Japan
24379392.0,24641535,China
24641536.0,25165823,Australia
25165824.0,27262975,Australia
27262976.0,28311551,Taiwan; Republic of China (ROC)
28311552.0,28442623,Korea Republic of
28442624.0,28508159,Australia
28508160.0,28540927,Australia
28540928.0,28573695,Thailand
28573696.0,28835839,China
28835840.0,28966911,China
28966912.0,29032447,India
29032448.0,29097983,India
29097984.0,29360127,China
29360128.0,29884415,China
29884416.0,29949951,Taiwan; Republic of China (ROC)
29949952.0,30015487,Korea Republic of
30015488.0,30146559,China
30146560.0,30408703,China
30408704.0,31457279,Korea Republic of
31457280.0,33554431,Korea Republic of
33554432.0,34603007,France
34603008.0,35127295,European Union
35127296.0,35651583,United Kingdom
35651584.0,36700159,Italy
36700160.0,36962303,United Arab Emirates
36962304.0,37224447,Israel
37224448.0,37289983,Ukraine
37289984.0,37355519,Ukraine
37355520.0,37486591,Ukraine
37486592.0,37748735,Russian Federation
37748736.0,38273023,Sweden
38273024.0,38797311,Kazakhstan
38797312.0,39059455,Portugal
39059456.0,39321599,Greece
39321600.0,39583743,Saudi Arabia
39583744.0,39845887,Russian Federation
39845888.0,40370175,United Kingdom
40370176.0,40894463,Denmark
40894464.0,41418751,Italy
41418752.0,41943039,United Kingdom
41943040.0,42205183,Denmark
42205184.0,42467327,Kazakhstan
42467328.0,42991615,Spain
42991616.0,43253759,Iran (ISLAMIC Republic Of)
43253760.0,43515903,Norway
43515904.0,43778047,Spain
43778048.0,44040191,Italy
44040192.0,45088767,Germany
45088768.0,46137343,Iran (ISLAMIC Republic Of)
46137344.0,46661631,Italy
46661632.0,47185919,Germany
47185920.0,47710207,Germany
47710208.0,48234495,United Kingdom
48234496.0,49283071,Italy
49283072.0,49807359,Germany
49807360.0,50331647,Sweden
50331648.0,67108863,United States
67108864.0,83886079,United States
83886080.0,83951615,Syrian Arab Republic
83951616.0,83959807,Ukraine
83959808.0,83961855,Spain
83961856.0,83963903,Cyprus
83963904.0,83965951,Russian Federation
83965952.0,83967999,Czech Republic
83968000.0,83976191,Germany
83976192.0,83978239,Switzerland
83978240.0,83980287,Iraq
83980288.0,83982335,Switzerland
83982336.0,83984383,Germany
83984384.0,84017151,Germany
84017152.0,84021247,Italy
84021248.0,84023295,United Kingdom
84023296.0,84025343,Spain
84025344.0,84033535,Russian Federation
84033536.0,84037631,Netherlands
84037632.0,84039679,Turkey
84039680.0,84041727,Spain
84041728.0,84049919,United Kingdom
84049920.0,84082687,Romania
84082688.0,84148223,Russian Federation
84148224.0,84410367,Germany
84410368.0,84426751,Russian Federation
84426752.0,84434943,Russian Federation
84434944.0,84443135,Italy
84443136.0,84451327,Lebanon
84451328.0,84455423,Russian Federation
84455424.0,84457471,Russian Federation
84457472.0,84459519,Spain
84459520.0,84467711,Russian Federation
84467712.0,84471807,Russian Federation
84471808.0,84473855,Iraq
84473856.0,84475903,Hungary
84475904.0,84541439,Germany
84541440.0,84543487,Germany
84543488.0,84545535,Germany
84545536.0,84549631,United Kingdom
84549632.0,84551679,Georgia
84551680.0,84553727,Germany
84553728.0,84557823,Germany
84557824.0,84574207,Netherlands
84574208.0,84576255,France
84576256.0,84578303,United Kingdom
84578304.0,84582399,United Kingdom
84582400.0,84590591,Germany
84590592.0,84592639,Netherlands
84592640.0,84594687,Spain
84594688.0,84598783,Germany
84598784.0,84600831,Iraq
84600832.0,84602879,United Kingdom
84602880.0,84606975,Azerbaijan
84606976.0,84609023,Austria
84609024.0,84611071,United Kingdom
84611072.0,84615167,United Kingdom
84615168.0,84617215,Italy
84617216.0,84619263,Palestinian Territory Occupied
84619264.0,84621311,Germany
84621312.0,84623359,Greece
84623360.0,84627455,Russian Federation
84627456.0,84629503,United Kingdom
84629504.0,84631551,United Kingdom
84631552.0,84639743,Italy
84639744.0,84672511,Turkey
84672512.0,84934655,Romania
84934656.0,85196799,Russian Federation
85196800.0,85262335,Lithuania
85262336.0,85327871,Oman
85327872.0,85360639,Iran (ISLAMIC Republic Of)
85360640.0,85362687,Israel
85362688.0,85364735,United Kingdom
85364736.0,85366783,Germany
85366784.0,85368831,Czech Republic
85368832.0,85377023,Serbia
85377024.0,85385215,Iran (ISLAMIC Republic Of)
85385216.0,85387263,United Kingdom
85387264.0,85389311,Sweden
85389312.0,85391359,Germany
85391360.0,85393407,Netherlands
85393408.0,85401599,European Union
85401600.0,85403647,Italy
85403648.0,85405695,France
85405696.0,85407743,Russian Federation
85407744.0,85409791,Finland
85409792.0,85417983,Switzerland
85417984.0,85420031,Russian Federation
85420032.0,85422079,Russian Federation
85422080.0,85424127,Iran (ISLAMIC Republic Of)
85424128.0,85426175,Turkey
85426176.0,85458943,Belgium
